run_id,lineAvailability,unplannedDowntimeCount,unplannedDowntimeMinutes,avgCycleMinutes,changeoverEventCount,wipPeak,rippleEffectMinutes,failurePredictionLeadTime,maintenanceCost,plannedMaintMinutes,completedCount
1,1.000000,0,0.00,63.5321,138,101,0.00,0.0000,24346.00,9738.40,981
2,1.000000,0,0.00,63.9348,141,97,0.00,0.0000,20355.06,8142.02,924
3,1.000000,0,0.00,63.2164,146,97,0.00,0.0000,10920.25,4368.10,992
4,1.000000,0,0.00,63.4417,130,78,0.00,0.0000,17252.90,6901.16,950
5,1.000000,0,0.00,65.9738,167,119,0.00,0.0000,13755.12,5502.05,968
6,1.000000,0,0.00,63.6962,135,100,0.00,0.0000,11027.20,4410.88,895
7,1.000000,0,0.00,64.9169,176,130,0.00,0.0000,7723.28,3089.31,1001
8,1.000000,0,0.00,64.9052,138,99,0.00,0.0000,0.00,0.00,972
9,1.000000,0,0.00,64.6593,154,117,0.00,0.0000,8101.46,3240.59,899
10,1.000000,0,0.00,62.5827,126,84,0.00,0.0000,9466.32,3786.53,952
11,1.000000,0,0.00,64.4190,161,114,0.00,0.0000,7829.45,3131.78,932
12,1.000000,0,0.00,66.9933,180,146,0.00,0.0000,18145.23,7258.09,943
13,1.000000,0,0.00,63.9174,139,103,0.00,0.0000,26779.93,10711.97,967
14,1.000000,0,0.00,63.7864,164,111,0.00,0.0000,15706.80,6282.72,990
15,1.000000,0,0.00,63.2006,135,107,0.00,0.0000,26942.60,10777.04,905
16,1.000000,0,0.00,64.9924,167,130,0.00,0.0000,13902.15,5560.86,1010
17,1.000000,0,0.00,63.4387,135,95,0.00,0.0000,7086.14,2834.45,924
18,1.000000,0,0.00,64.1643,155,105,0.00,0.0000,12803.80,5121.52,967
19,1.000000,0,0.00,64.5102,152,109,0.00,0.0000,3673.21,1469.28,966
20,1.000000,0,0.00,64.1867,142,101,0.00,0.0000,0.00,0.00,929
21,1.000000,0,0.00,63.9836,150,107,0.00,0.0000,5621.92,2248.77,961
22,1.000000,0,0.00,65.8180,154,121,0.00,0.0000,25252.80,10101.12,957
23,1.000000,0,0.00,63.6405,143,98,0.00,0.0000,8861.66,3544.66,936
24,1.000000,0,0.00,64.2555,144,97,0.00,0.0000,5885.33,2354.13,906
25,1.000000,0,0.00,63.7900,146,95,0.00,0.0000,23498.50,9399.40,959
26,1.000000,0,0.00,62.8035,126,94,0.00,0.0000,8100.45,3240.18,1007
27,1.000000,0,0.00,64.8046,151,106,0.00,0.0000,10504.77,4201.91,936
28,1.000000,0,0.00,64.0901,133,87,0.00,0.0000,10827.87,4331.15,961
29,1.000000,0,0.00,63.8407,145,106,0.00,0.0000,9864.97,3945.99,975
30,1.000000,0,0.00,62.6259,111,76,0.00,0.0000,14274.07,5709.63,936
31,1.000000,0,0.00,63.5708,131,88,0.00,0.0000,0.00,0.00,984
32,1.000000,0,0.00,63.5061,144,99,0.00,0.0000,9033.60,3613.44,925
33,1.000000,0,0.00,64.1404,152,109,0.00,0.0000,24127.31,9650.92,959
34,1.000000,0,0.00,63.8553,150,101,0.00,0.0000,16682.57,6673.03,934
35,1.000000,0,0.00,63.6241,137,90,0.00,0.0000,11787.98,4715.19,932
36,1.000000,0,0.00,66.6832,202,137,0.00,0.0000,0.00,0.00,961
37,1.000000,0,0.00,62.5775,126,82,0.00,0.0000,16196.09,6478.44,951
38,1.000000,0,0.00,63.7366,154,98,0.00,0.0000,13367.45,5346.98,929
39,1.000000,0,0.00,63.2170,141,107,0.00,0.0000,5458.28,2183.31,995
40,1.000000,0,0.00,63.4287,138,92,0.00,0.0000,14164.48,5665.79,923
41,1.000000,0,0.00,64.7723,163,117,0.00,0.0000,0.00,0.00,952
42,1.000000,0,0.00,64.0588,159,115,0.00,0.0000,23445.79,9378.32,954
43,1.000000,0,0.00,63.4497,137,104,0.00,0.0000,0.00,0.00,933
44,1.000000,0,0.00,63.8277,138,87,0.00,0.0000,9966.27,3986.51,936
45,1.000000,0,0.00,62.9924,129,82,0.00,0.0000,18755.59,7502.24,934
46,1.000000,0,0.00,63.0172,126,95,0.00,0.0000,14012.24,5604.90,921
47,1.000000,0,0.00,64.0551,148,108,0.00,0.0000,6822.52,2729.01,942
48,1.000000,0,0.00,62.8011,134,90,0.00,0.0000,21997.44,8798.97,983
49,1.000000,0,0.00,65.1378,159,117,0.00,0.0000,0.00,0.00,940
50,1.000000,0,0.00,64.8315,166,111,0.00,0.0000,18295.81,7318.33,921
